Price,Open,Open,Open,Open,High,High,High,High,Low,Low,Low,Low,Close,Close,Close,Close,Volume,Volume,Volume,Volume
Ticker,AKAM,ALLT,ILMN,INCY,AKAM,ALLT,ILMN,INCY,AKAM,ALLT,ILMN,INCY,AKAM,ALLT,ILMN,INCY,AKAM,ALLT,ILMN,INCY
Date,,,,,,,,,,,,,,,,,,,,
2020-01-02,86.83999633789062,8.59000015258789,320.0875549316406,86.91000366210938,87.83000183105469,9.0600004196167,323.7840576171875,87.97000122070312,86.52999877929688,8.59000015258789,314.48443603515625,85.36000061035156,87.63999938964844,9.0600004196167,318.0933837890625,85.97000122070312,1079900,103700,836689,1679600
2020-01-03,86.44000244140625,9.039999961853027,313.70623779296875,76.1500015258789,87.5,9.170000076293945,316.2840576171875,78.0999984741211,86.4000015258789,8.899999618530273,312.26654052734375,75.16000366210938,87.23999786376953,8.9399995803833,313.939697265625,77.9000015258789,865900,64800,1383791,5529300
2020-01-06,86.6500015258789,8.949999809265137,312.2276306152344,77.2699966430664,87.58000183105469,9.15999984741211,316.8385314941406,77.43000030517578,86.61000061035156,8.949999809265137,310.0875549316406,75.5199966430664,87.55000305175781,9.130000114440918,316.6634216308594,77.33999633789062,1394200,99400,782102,2817200
2020-01-07,88.95999908447266,9.180000305175781,319.2704162597656,77.27999877929688,91.1500015258789,9.300000190734863,322.1498107910156,77.62000274658203,88.41000366210938,9.180000305175781,317.2276306152344,76.16000366210938,90.19999694824219,9.279999732971191,320.7101135253906,77.13999938964844,2475900,134200,811195,1536000
2020-01-08,90.54000091552734,9.239999771118164,319.37744140625,77.29000091552734,91.97000122070312,9.34000015258789,325.38909912109375,77.44999694824219,89.98999786376953,9.109999656677246,317.8404541015625,76.08000183105469,91.4000015258789,9.229999542236328,323.11285400390625,76.52999877929688,1899000,61300,698732,1698500
2020-01-09,92.0,9.279999732971191,325.8657531738281,76.5,93.22000122070312,9.3100004196167,327.7918395996094,78.69000244140625,91.83000183105469,9.109999656677246,323.57977294921875,76.5,93.19000244140625,9.180000305175781,325.48638916015625,77.94999694824219,1639600,79700,904332,1977600
2020-01-10,93.58999633789062,9.140000343322754,327.4416198730469,77.69999694824219,93.95999908447266,9.220000267028809,330.3793640136719,78.25,92.7300033569336,9.100000381469727,324.5719909667969,76.31999969482422,93.52999877929688,9.220000267028809,326.39105224609375,76.47000122070312,1183800,31100,978142,1204000
2020-01-13,94.0,9.40999984741211,326.7607116699219,76.58000183105469,95.36000061035156,9.569999694824219,328.60894775390625,77.91999816894531,93.83000183105469,9.40999984741211,304.309326171875,75.80999755859375,94.68000030517578,9.489999771118164,314.3482360839844,77.0999984741211,1066600,77300,2404286,1938100
