Price,Open,High,Low,Close,Volume,Returns,SMA_10,SMA_20,EMA_12,Volatility_10,RSI,Price_Change,Volume_Ratio
Ticker,38.08000183105469,38.43999862670898,37.7400016784668,38.20000076293945,357300.0,0.0015706166857452075,38.37000007629395,37.29849987030029,38.20000076293945,0.019700010527839606,41.2790611711408,0.003151232303431905,0.7396326047953025
Date,38.08000183105469,38.43999862670898,37.7400016784668,38.20000076293945,357300.0,0.0015706166857452075,38.37000007629395,37.29849987030029,38.20000076293945,0.019700010527839606,41.2790611711408,0.003151232303431905,0.7396326047953025
2020-01-02,38.08000183105469,38.43999862670898,37.7400016784668,38.20000076293945,357300.0,0.0015706166857452075,38.37000007629395,37.29849987030029,38.20000076293945,0.019700010527839606,41.2790611711408,0.003151232303431905,0.7396326047953025
2020-01-03,37.58000183105469,38.400001525878906,37.58000183105469,38.2599983215332,436900.0,0.0015706166857452075,38.37000007629395,37.29849987030029,38.23249944051107,0.019700010527839606,41.2790611711408,0.018094636970363114,0.7396326047953025
2020-01-06,37.7599983215332,38.5,37.56999969482422,38.43999862670898,489800.0,0.004704660561222873,38.37000007629395,37.29849987030029,38.313486420805404,0.019700010527839606,41.2790611711408,0.018008483458750415,0.7396326047953025
2020-01-07,38.31999969482422,38.83000183105469,38.18999862670898,38.560001373291016,459400.0,0.0031218197416547078,38.37000007629395,37.29849987030029,38.39130155738743,0.019700010527839606,41.2790611711408,0.006263091867905554,0.7396326047953025
2020-01-08,38.540000915527344,38.9900016784668,38.470001220703125,38.72999954223633,436100.0,0.004408666050075949,38.37000007629395,37.29849987030029,38.48332458937218,0.019700010527839606,41.2790611711408,0.004929907166463922,0.7396326047953025
2020-01-09,38.97999954223633,39.369998931884766,38.81999969482422,38.93000030517578,467800.0,0.00516397534994395,38.37000007629395,37.29849987030029,38.591890287834545,0.019700010527839606,41.2790611711408,-0.0012826895240563249,0.7396326047953025
2020-01-10,39.11000061035156,39.36000061035156,38.27999877929688,38.5099983215332,448400.0,-0.01078864578346117,38.37000007629395,37.29849987030029,38.57361638207252,0.019700010527839606,41.2790611711408,-0.015341403207739962,0.7396326047953025
2020-01-13,38.47999954223633,39.13999938964844,38.040000915527344,39.060001373291016,543200.0,0.014282084542451834,38.37000007629395,37.29849987030029,38.67511743303633,0.019700010527839606,41.2790611711408,0.01507281283665472,0.7396326047953025
